N°POSTE,Nb Postes Vacants,Quotité,TYPE,SIGLE,NOM,ADRESSE,COMMUNE,SUPPORT,DISCIPLINE,CIRCONSCRIPTION
       1933,   ,100,E,E.E.PU,NELSON MANDELA                ,8 RUELLE DES ECOLES             ,ONNAING                   ,2584,G0000,VALENCIENNES BRUAY            
       1934,   ,100,E,E.E.PU,JULES FERRY                   ,66 RUE JULES ROCH               ,ORCHIES                   ,2584,G0000,DOUAI-RIEULAY                 
       1935,   ,100,E,E.E.PU,JOLIOT-CURIE                  ,10 RUE JULES ROCH               ,ORCHIES                   ,2584,G0000,DOUAI-RIEULAY                 
       1936,   ,100,E,E.M.PU,ROGER SALENGRO                ,17 RUE ROGER SALENGRO           ,ORCHIES                   ,2584,G0000,DOUAI-RIEULAY                 
       1937,   ,100,E,E.M.PU,CENTRE                        ,15 RUE SAINT FRANCOIS           ,LE QUESNOY                ,2584,G0000,AVESNES-LE QUESNOY            
       1938,   ,100,E,E.M.PU,DOCTEUR AVERILL               ,RUE DU 11 NOVEMBRE              ,LE QUESNOY                ,2584,G0000,AVESNES-LE QUESNOY            
       1939,   ,100,E,E.P.PU,JEAN MACE                     ,54 RUE DU MARECHAL FOCH         ,QUESNOY SUR DEULE         ,2584,G0000,LILLE2-LOMME                  
       1940,   ,100,E,E.P.PU,                              ,7 RUE DE LA FETERIE             ,RADINGHEM EN WEPPES       ,2584,G0000,LILLE2-LOOS                   
       1941,   ,100,E,E.P.PU,JOSEPH RINGEVAL               ,28 RUE PASTEUR                  ,RAILLENCOURT STE OLLE     ,2584,G0000,CAMBRAI-CENTRE                
       1942,   ,100,E,E.E.PU,ANNE GODEAU                   ,RUE DE L USINE                  ,RAISMES                   ,2584,G0000,VALENCIENNES-SAINT AMAND      
       1943,   ,100,E,E.M.PU,JULES MORIAMEZ                ,14 BIS RUE JULES MORIAMEZ       ,RAISMES                   ,2584,G0000,VALENCIENNES-SAINT AMAND      
       1944,   ,100,E,E.P.PU,PHILIPPE DE COMMYNES          ,RUE DU CHATEAU                  ,RENESCURE                 ,2584,G0000,DUNKERQUE-HAZEBROUCK          
       1945,   ,100,E,E.P.PU,LE COLOMBIER                  ,GRAND PLACE                     ,RIEULAY                   ,2584,G0000,DOUAI-RIEULAY                 
       1946,   ,100,E,E.P.PU,JEAN JAURES                   ,3 PLACE JEAN JAURES             ,RIEUX EN CAMBRESIS        ,2584,G0000,CAMBRAI-LE CATEAU             
       1947,   ,100,E,E.E.PU,CONDORCET NIVEAU 2            ,10 PLACE GILBERT HENRY          ,ROEULX                    ,2584,G0000,VALENCIENNES DENAIN           
       1948,   ,100,E,E.E.PU,PIERRE BROSSOLETTE            ,RUE HANICOTTE                   ,RONCHIN                   ,2584,G0000,LILLE3-RONCHIN                
       1949,   ,100,E,E.M.PU,PAULINE KERGOMARD             ,1 RUE DU 11 NOVEMBRE            ,RONCHIN                   ,2584,G0000,LILLE3-RONCHIN                
       1950,   ,100,E,E.P.PU,GROUPE SCOL. CURIE - JAURES   ,8 RUE JULES WATTEEUW            ,RONCQ                     ,2584,G0000,TOURCOING-RONCQ               
       1951,   ,100,E,E.M.PU,PAULINE KERGOMARD             ,9 AVENUE ALPHONSE LOEUL         ,RONCQ                     ,2584,G0000,TOURCOING-RONCQ               
       1952,   ,100,E,E.M.PU,MARIE CURIE-ROUGE PORTE       ,20 RUE DES FRERES MARTEL        ,HALLUIN                   ,2584,G0000,TOURCOING-RONCQ               
       1953,   ,100,E,E.P.PU,LOUISE DE BETTIGNIES          ,33 RUE GEORGES CLAEYMAN         ,DUNKERQUE                 ,2584,G0000,DUNKERQUE-CENTRE              
       1954,   ,100,E,E.E.PU,MARCELIN BERTHELOT            ,78 RUE MARCELIN BERTHELOT       ,DUNKERQUE                 ,2584,G0000,DUNKERQUE-CENTRE              
       1955,   ,100,E,E.E.PU,LAMARTINE                     ,433 RUE ANATOLE FRANCE          ,DUNKERQUE                 ,2584,G0000,DUNKERQUE-CENTRE              
       1956,   ,100,E,E.P.PU,LES PRES VERTS                ,421 RUE DU CAPITAINE DEKEN      ,ROSULT                    ,2584,G0000,VALENCIENNES-SAINT AMAND      
       1957,   ,100,E,E.P.PU,JULES FERRY                   ,4 RUE TERNAUX                   ,ROUBAIX                   ,2584,G0000,ROUBAIX-CENTRE                
